event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff
UFC 143,dustin poirier,max holloway,Red,Featherweight,0,Men,Submission,1,3,203,Steve Mazzagatti,0,11,25,0.44,15,29,0.52,1,3,0.33,3,0,89,30,8,35.0,175.26,70.31,182.88,Southpaw,5.45,4.36,0.51,0.36,0.53,0.63,1.4,1.33,0,11,32,0.34,11,32,0.34,0,0,0.0,0,0,7,25,7,32.0,180.34,65.77,175.26,Orthodox,7.17,4.75,0.47,0.53,0.59,0.84,0.3,0.27,0,0,-7,0.1,4,-3,0.18,1,3,0.33,3,0,82,5,1,3.0,-5.08,4.540000000000006,7.620000000000003,-1.72,-0.39,0.04,-0.17,-0.06,-0.21,1.1,1.06
UFC Macao,rich franklin,cung le,Blue,Middleweight,0,Men,KO/TKO,1,5,137,Marc Goddard,0,12,21,0.57,12,21,0.57,0,0,0.0,0,0,0,29,7,49.0,185.42,83.91,193.04,Southpaw,4.1,2.07,0.44,0.66,0.62,0.63,0.7,1.31,1,8,16,0.5,8,16,0.5,0,0,0.0,0,0,2,9,3,51.0,175.26,83.91,177.8,Southpaw,4.36,2.98,0.48,0.71,0.66,0.88,0.3,1.37,-1,4,5,0.07,4,5,0.07,0,0,0.0,0,0,-2,20,4,-2.0,10.159999999999997,0.0,15.23999999999998,-0.26,-0.91,-0.04,-0.05,-0.04,-0.25,0.3999999999999999,-0.06
UFC 147,wanderlei silva,rich franklin,Blue,Catch Weight,0,Men,Decision - Unanimous,5,5,300,Mario Yamasaki,1,58,187,0.31,80,213,0.38,0,0,0.0,0,0,39,35,13,47.0,180.34,92.99,187.96,Orthodox,2.79,2.19,0.4,0.53,0.6,0.62,0.6,0.97,0,122,336,0.36,126,342,0.37,1,2,0.5,0,0,47,29,7,49.0,185.42,83.91,193.04,Southpaw,4.1,2.07,0.44,0.66,0.62,0.63,0.7,1.31,1,-64,-149,-0.05,-46,-129,0.01,-1,-2,-0.5,0,0,-8,6,6,-2.0,-5.08,9.079999999999998,-5.08,-1.31,0.1200000000000001,-0.04,-0.13,-0.02,-0.01,-0.1,-0.34
UFC 99,rich franklin,wanderlei silva,Red,Catch Weight,0,Men,Decision - Unanimous,3,3,300,Mario Yamasaki,0,52,150,0.34,67,167,0.4,1,2,0.5,0,0,78,29,7,49.0,185.42,83.91,193.04,Southpaw,4.1,2.07,0.44,0.66,0.62,0.63,0.7,1.31,0,38,137,0.27,55,157,0.35,1,1,1.0,0,0,92,35,13,47.0,180.34,92.99,187.96,Orthodox,2.79,2.19,0.4,0.53,0.6,0.62,0.6,0.97,0,14,13,0.07,12,10,0.05,0,1,-0.5,0,0,-14,-6,-6,2.0,5.079999999999984,-9.08,5.079999999999984,1.3099999999999996,-0.12,0.04,0.13,0.02,0.01,0.1,0.3400000000000001
UFC 160,cain velasquez,antonio silva,Red,UFC Heavyweight Title,1,Men,KO/TKO,1,5,81,Mario Yamasaki,1,18,28,0.64,18,28,0.64,0,2,0.0,0,0,11,14,3,41.0,185.42,108.86,195.58,Orthodox,6.37,2.33,0.57,0.45,0.57,0.85,0.4,5.13,0,1,3,0.33,2,4,0.5,0,0,0.0,0,0,0,19,12,44.0,193.04,119.75,208.28,Orthodox,2.89,3.09,0.45,0.29,0.5,0.66,0.8,0.82,1,17,25,0.31,16,24,0.14,0,2,0.0,0,0,11,-5,-9,-3.0,-7.62,-10.89,-12.7,3.48,-0.76,0.1199999999999999,0.16,0.07,0.1899999999999999,-0.4,4.31
UFC 146,cain velasquez,antonio silva,Red,Heavyweight,0,Men,KO/TKO,1,3,216,Josh Rosenthal,0,28,50,0.56,53,84,0.63,1,1,1.0,0,0,209,14,3,41.0,185.42,108.86,195.58,Orthodox,6.37,2.33,0.57,0.45,0.57,0.85,0.4,5.13,0,1,2,0.5,3,4,0.75,0,0,0.0,0,0,0,19,12,44.0,193.04,119.75,208.28,Orthodox,2.89,3.09,0.45,0.29,0.5,0.66,0.8,0.82,0,27,48,0.06,50,80,-0.12,1,1,1.0,0,0,209,-5,-9,-3.0,-7.62,-10.89,-12.7,3.48,-0.76,0.1199999999999999,0.16,0.07,0.1899999999999999,-0.4,4.31
UFC 202,nate diaz,conor mcgregor,Blue,Welterweight,0,Men,Decision - Majority,5,5,300,John McCarthy,0,166,343,0.48,252,435,0.58,1,7,0.14,0,0,350,22,13,38.0,182.88,77.11,193.04,Southpaw,4.57,3.77,0.45,0.3,0.52,0.41,1.3,1.05,3,164,286,0.57,197,322,0.61,0,1,0.0,0,0,91,22,6,35.0,175.26,70.31,187.96,Southpaw,5.32,4.66,0.49,0.55,0.54,0.66,0.1,0.67,-3,2,57,-0.09,55,113,-0.03,1,6,0.14,0,0,259,0,7,3.0,7.620000000000003,6.799999999999997,5.079999999999984,-0.75,-0.89,-0.04,-0.25,-0.02,-0.25,1.2,0.38
UFC 196,conor mcgregor,nate diaz,Blue,Welterweight,0,Men,Submission,2,5,252,Herb Dean,0,61,140,0.43,66,145,0.46,0,1,0.0,0,1,39,22,6,35.0,175.26,70.31,187.96,Southpaw,5.32,4.66,0.49,0.55,0.54,0.66,0.1,0.67,0,77,152,0.5,89,169,0.53,1,1,1.0,2,0,70,22,13,38.0,182.88,77.11,193.04,Southpaw,4.57,3.77,0.45,0.3,0.52,0.41,1.3,1.05,0,-16,-12,-0.07,-23,-24,-0.07,-1,0,-1.0,-2,1,-31,0,-7,-3.0,-7.62,-6.8,-5.08,0.75,0.8900000000000001,0.04,0.25,0.02,0.25,-1.2,-0.38
UFC Fight Night,anderson silva,michael bisping,Blue,Middleweight,0,Men,Decision - Unanimous,5,5,300,Herb Dean,1,75,135,0.55,75,135,0.56,0,0,0.0,0,0,5,34,11,48.0,187.96,83.91,195.58,Southpaw,3.05,2.05,0.61,0.77,0.6,0.69,0.8,0.5,1,108,316,0.34,112,320,0.35,0,1,0.0,0,0,44,30,9,45.0,185.42,83.91,190.5,Orthodox,4.33,2.71,0.38,0.43,0.65,0.63,0.3,1.05,0,-33,-181,0.21,-37,-185,0.21,0,-1,0.0,0,0,-39,4,2,3.0,2.5400000000000205,0.0,5.0800000000000125,-1.28,-0.66,0.2299999999999999,0.34,-0.05,0.06,0.5,-0.55
UFC 110,wanderlei silva,michael bisping,Red,Middleweight,0,Men,Decision - Unanimous,3,3,300,Josh Rosenthal,1,42,165,0.25,47,171,0.27,1,1,1.0,1,0,61,35,13,47.0,180.34,92.99,187.96,Orthodox,2.79,2.19,0.4,0.53,0.6,0.62,0.6,0.97,0,32,137,0.23,38,144,0.26,5,9,0.55,0,0,43,30,9,45.0,185.42,83.91,190.5,Orthodox,4.33,2.71,0.38,0.43,0.65,0.63,0.3,1.05,1,10,28,0.02,9,27,0.01,-4,-8,0.4499999999999999,1,0,18,5,4,2.0,-5.08,9.079999999999998,-2.54,-1.54,-0.52,0.02,0.1,-0.05,-0.01,0.3,-0.08
UFC Fight Night,dominick reyes,chris weidman,Red,Light Heavyweight,0,Men,KO/TKO,1,5,103,Herb Dean,1,8,11,0.72,9,12,0.75,0,0,0.0,0,0,9,12,4,34.0,193.04,92.99,195.58,Southpaw,4.75,3.77,0.5,0.28,0.48,0.8,0.4,0.36,0,3,6,0.5,10,13,0.77,1,4,0.25,0,0,70,15,7,39.0,187.96,83.91,198.12,Orthodox,2.98,3.27,0.43,0.43,0.5,0.65,0.8,3.6,1,5,5,0.2199999999999999,-1,-1,-0.02,-1,-4,-0.25,0,0,-61,-3,-3,-5.0,5.079999999999984,9.079999999999998,-2.54,1.77,0.5,0.07,-0.15,-0.02,0.15,-0.4,-3.24
UFC Fight Night,matt frevola,marco polo reyes,Blue,Lightweight,0,Men,KO/TKO,1,3,60,Dan Miragliotta,0,9,30,0.3,9,30,0.3,0,0,0.0,0,0,0,11,4,33.0,175.26,70.31,180.34,Orthodox,3.71,3.57,0.42,0.4,0.59,0.42,0.9,2.59,2,18,39,0.46,19,40,0.48,0,0,0.0,0,0,0,8,7,39.0,180.34,70.31,180.34,Orthodox,6.0,5.52,0.37,0.0,0.59,0.46,0.0,0.0,-2,-9,-9,-0.16,-10,-10,-0.18,0,0,0.0,0,0,0,3,-3,-6.0,-5.08,0.0,0.0,-2.29,-1.95,0.05,0.4,0.0,-0.04,0.9,2.59
UFC 199,marco polo reyes,dong hyun ma,Red,Lightweight,0,Men,KO/TKO,3,3,112,Mike Beltran,2,135,299,0.45,147,312,0.47,0,0,0.0,0,0,84,8,7,39.0,180.34,70.31,180.34,Orthodox,6.0,5.52,0.37,0.0,0.59,0.46,0.0,0.0,0,83,197,0.42,99,214,0.46,2,3,0.66,0,0,88,16,11,35.0,180.34,70.31,177.8,Orthodox,2.84,4.1,0.41,0.53,0.54,0.33,0.0,1.27,2,52,102,0.03,48,98,0.01,-2,-3,-0.66,0,0,-4,-8,-4,4.0,0.0,0.0,2.539999999999992,3.16,1.42,-0.04,-0.53,0.05,0.13,0.0,-1.27
UFC 294,islam makhachev,alexander volkanovski,Red,UFC Lightweight Title,1,Men,KO/TKO,1,5,186,Marc Goddard,1,24,29,0.82,39,46,0.85,0,1,0.0,0,0,19,25,1,32.0,177.8,70.31,177.8,Southpaw,2.46,1.27,0.6,0.6,0.61,0.9,1.0,3.17,0,4,6,0.66,11,18,0.61,0,0,0.0,0,0,49,26,4,35.0,167.64,65.77,180.34,Orthodox,6.16,3.44,0.56,0.37,0.58,0.7,0.2,1.78,1,20,23,0.1599999999999999,28,28,0.24,0,1,0.0,0,0,-30,-1,-3,-3.0,10.160000000000023,4.540000000000006,-2.54,-3.7,-2.17,0.0399999999999999,0.2299999999999999,0.03,0.2,0.8,1.39
UFC 284,islam makhachev,alexander volkanovski,Red,UFC Lightweight Title,1,Men,Decision - Unanimous,5,5,300,Marc Goddard,0,57,95,0.6,95,135,0.7,4,9,0.44,0,0,457,25,1,32.0,177.8,70.31,177.8,Southpaw,2.46,1.27,0.6,0.6,0.61,0.9,1.0,3.17,1,70,143,0.48,164,255,0.64,0,4,0.0,0,0,175,26,4,35.0,167.64,65.77,180.34,Orthodox,6.16,3.44,0.56,0.37,0.58,0.7,0.2,1.78,-1,-13,-48,0.12,-69,-120,0.06,4,5,0.44,0,0,282,-1,-3,-3.0,10.160000000000023,4.540000000000006,-2.54,-3.7,-2.17,0.0399999999999999,0.2299999999999999,0.03,0.2,0.8,1.39
UFC Fight Night,umar nurmagomedov,raoni barcelos,Red,Bantamweight,0,Men,KO/TKO,1,3,280,Jason Herzog,1,36,51,0.7,36,51,0.71,0,0,0.0,0,0,2,17,0,28.0,172.72,61.23,175.26,Orthodox,4.75,0.56,0.69,0.56,0.76,1.0,0.6,4.51,0,13,24,0.54,14,25,0.56,0,1,0.0,0,0,0,18,5,36.0,170.18,61.23,170.18,Orthodox,5.22,4.79,0.51,0.32,0.61,0.85,0.6,1.86,1,23,27,0.1599999999999999,22,26,0.1499999999999999,0,-1,0.0,0,0,2,-1,-5,-8.0,2.539999999999992,0.0,5.079999999999984,-0.47,-4.23,0.1799999999999999,0.24,0.15,0.15,0.0,2.6499999999999995
UFC Fight Night,raoni barcelos,said nurmagomedov,Red,Bantamweight,0,Men,Decision - Unanimous,3,3,300,Peter Hickmott,0,42,100,0.42,52,112,0.46,2,5,0.4,0,0,159,18,5,36.0,170.18,61.23,170.18,Orthodox,5.22,4.79,0.51,0.32,0.61,0.85,0.6,1.86,0,55,172,0.31,77,200,0.38,0,2,0.0,0,0,14,18,3,31.0,172.72,61.23,177.8,Orthodox,3.55,2.13,0.47,0.16,0.57,0.66,1.4,1.01,0,-13,-72,0.1099999999999999,-25,-88,0.08,2,3,0.4,0,0,145,0,2,5.0,-2.54,0.0,-7.62,1.67,2.66,0.04,0.16,0.04,0.1899999999999999,-0.8,0.8500000000000001
UFC 283,lauren murphy,jessica andrade,Blue,Women's Flyweight,0,Women,Decision - Unanimous,3,3,300,Osiris Maia,0,100,293,0.34,103,296,0.35,0,15,0.0,0,0,9,16,6,40.0,165.1,56.7,170.18,Orthodox,4.05,5.25,0.39,0.25,0.55,0.69,0.1,1.03,0,231,369,0.62,237,375,0.63,1,1,1.0,0,0,71,25,12,32.0,154.94,52.16,157.48,Orthodox,6.67,5.36,0.5,0.54,0.54,0.72,0.4,2.45,0,-131,-76,-0.28,-134,-79,-0.28,-1,14,-1.0,0,0,-62,-9,-6,8.0,10.159999999999997,4.540000000000006,12.700000000000015,-2.62,-0.11,-0.11,-0.29,0.01,-0.03,-0.3,-1.42
UFC Fight Night,lerone murphy,douglas silva de andrade,Red,Featherweight,0,Men,Decision - Unanimous,3,3,300,Marc Goddard,0,48,115,0.41,60,131,0.46,1,4,0.25,0,0,111,13,0,32.0,175.26,65.77,185.42,Orthodox,3.65,2.4,0.5,0.46,0.56,0.46,0.9,1.29,0,39,108,0.36,51,121,0.42,1,2,0.5,0,0,81,29,5,38.0,170.18,61.23,172.72,Orthodox,3.66,3.99,0.38,0.46,0.58,0.7,0.2,0.61,0,9,7,0.05,9,10,0.04,0,2,-0.25,0,0,30,-16,-5,-6.0,5.079999999999984,4.539999999999999,12.699999999999989,-0.01,-1.59,0.12,0.0,-0.02,-0.24,0.7,0.68
UFC Fight Night,junior tafa,parker porter,Red,Heavyweight,0,Men,KO/TKO,1,3,84,Marc Goddard,1,8,13,0.61,11,16,0.69,0,0,0.0,0,0,4,5,2,27.0,190.5,108.86,190.5,Orthodox,1.81,1.86,0.4,0.0,0.5,0.81,0.0,0.0,0,2,9,0.22,3,10,0.3,0,1,0.0,0,0,17,14,9,38.0,182.88,120.2,190.5,Orthodox,6.55,6.32,0.5,0.26,0.51,0.66,0.5,1.35,1,6,4,0.39,8,6,0.3899999999999999,0,-1,0.0,0,0,-13,-9,-7,-11.0,7.620000000000003,-11.34,0.0,-4.74,-4.46,-0.1,-0.26,-0.01,0.15,-0.5,-1.35
UFC 284,justin tafa,parker porter,Red,Heavyweight,0,Men,KO/TKO,1,3,66,Jason Herzog,1,8,16,0.5,8,16,0.5,0,0,0.0,0,0,0,7,4,30.0,182.88,119.75,187.96,Southpaw,4.09,5.02,0.54,0.0,0.47,0.5,0.0,0.0,0,7,16,0.43,7,16,0.44,0,0,0.0,0,0,0,14,9,38.0,182.88,120.2,190.5,Orthodox,6.55,6.32,0.5,0.26,0.51,0.66,0.5,1.35,1,1,0,0.07,1,0,0.06,0,0,0.0,0,0,0,-7,-5,-8.0,0.0,-0.45,-2.54,-2.46,-1.3,0.04,-0.26,-0.04,-0.16,-0.5,-1.35
UFC 283,deiveson figueiredo,brandon moreno,Blue,UFC Flyweight Title,1,Men,TKO - Doctor's Stoppage,3,5,300,Herb Dean,0,19,43,0.44,24,48,0.5,1,2,0.5,2,0,35,22,3,36.0,165.1,61.23,172.72,Orthodox,3.08,3.46,0.55,0.44,0.51,0.58,1.6,1.65,0,48,74,0.64,85,111,0.77,3,6,0.5,0,0,412,21,8,30.0,170.18,56.7,177.8,Orthodox,3.87,3.63,0.44,0.46,0.59,0.63,0.5,1.74,0,-29,-31,-0.2,-61,-63,-0.27,-2,-4,0.0,2,0,-377,1,-5,6.0,-5.08,4.529999999999994,-5.08,-0.79,-0.17,0.11,-0.02,-0.08,-0.05,1.1,-0.09
UFC 270,brandon moreno,deiveson figueiredo,Blue,UFC Flyweight Title,1,Men,Decision - Unanimous,5,5,300,Jason Herzog,0,105,259,0.4,106,260,0.41,1,2,0.5,0,0,46,21,8,30.0,170.18,56.7,177.8,Orthodox,3.87,3.63,0.44,0.46,0.59,0.63,0.5,1.74,3,86,169,0.5,95,178,0.53,2,11,0.18,0,0,138,22,3,36.0,165.1,61.23,172.72,Orthodox,3.08,3.46,0.55,0.44,0.51,0.58,1.6,1.65,-3,19,90,-0.1,11,82,-0.12,-1,-9,0.32,0,0,-92,-1,5,-6.0,5.0800000000000125,-4.53,5.0800000000000125,0.79,0.1699999999999999,-0.11,0.02,0.08,0.05,-1.1,0.09
UFC 263,deiveson figueiredo,brandon moreno,Blue,UFC Flyweight Title,1,Men,Submission,3,5,146,Mike Beltran,0,24,36,0.66,33,45,0.73,1,1,1.0,0,0,90,22,3,36.0,165.1,61.23,172.72,Orthodox,3.08,3.46,0.55,0.44,0.51,0.58,1.6,1.65,1,47,85,0.55,71,109,0.65,2,2,1.0,2,0,289,21,8,30.0,170.18,56.7,177.8,Orthodox,3.87,3.63,0.44,0.46,0.59,0.63,0.5,1.74,-1,-23,-49,0.1099999999999999,-38,-64,0.08,-1,-1,0.0,-2,0,-199,1,-5,6.0,-5.08,4.529999999999994,-5.08,-0.79,-0.17,0.11,-0.02,-0.08,-0.05,1.1,-0.09
UFC 251,petr yan,jose aldo,Red,UFC Bantamweight Title,1,Men,KO/TKO,5,5,204,Leon Roberts,1,194,309,0.62,258,376,0.69,1,2,0.5,0,0,290,17,5,31.0,170.18,61.23,170.18,Switch,5.14,4.36,0.53,0.51,0.58,0.85,0.1,1.73,0,83,157,0.52,83,157,0.53,0,1,0.0,0,0,0,31,8,37.0,170.18,61.23,177.8,Orthodox,3.57,3.74,0.46,0.54,0.6,0.91,0.1,0.49,1,111,152,0.1,175,219,0.1599999999999999,1,1,0.5,0,0,290,-14,-3,-6.0,0.0,0.0,-7.62,1.5699999999999998,0.6200000000000001,0.07,-0.03,-0.02,-0.06,0.0,1.24
UFC 198,francisco trinaldo,yancy medeiros,Red,Lightweight,0,Men,Decision - Unanimous,3,3,300,Dan Miragliotta,0,117,175,0.66,143,204,0.7,2,4,0.5,0,0,211,28,9,45.0,175.26,77.11,177.8,Southpaw,3.13,2.67,0.45,0.42,0.6,0.6,0.5,0.98,1,51,163,0.31,71,184,0.39,0,1,0.0,0,1,95,15,8,36.0,177.8,70.31,190.5,Orthodox,4.36,5.67,0.37,0.5,0.47,0.73,0.7,0.33,-1,66,12,0.35,72,20,0.3099999999999999,2,3,0.5,0,-1,116,13,1,9.0,-2.54,6.799999999999997,-12.7,-1.23,-3.0,0.08,-0.08,0.13,-0.13,-0.2,0.6499999999999999
UFC Fight Night,deiveson figueiredo,joseph benavidez,Red,UFC Flyweight Title,1,Men,Submission,1,5,288,Marc Goddard,2,35,40,0.87,40,45,0.89,0,0,0.0,4,0,143,22,3,36.0,165.1,61.23,172.72,Orthodox,3.08,3.46,0.55,0.44,0.51,0.58,1.6,1.65,0,18,28,0.64,22,33,0.67,0,0,0.0,0,0,0,28,8,39.0,162.56,56.7,165.1,Southpaw,3.52,2.67,0.34,0.3,0.61,0.62,0.6,1.41,2,17,12,0.2299999999999999,18,12,0.2199999999999999,0,0,0.0,4,0,143,-6,-5,-3.0,2.539999999999992,4.529999999999994,7.620000000000003,-0.44,0.79,0.21,0.14,-0.1,-0.04,1.0,0.24
UFC Fight Night,joseph benavidez,deiveson figueiredo,Blue,Flyweight,0,Men,KO/TKO,2,5,114,Dan Miragliotta,0,46,94,0.48,46,94,0.49,0,2,0.0,0,0,10,28,8,39.0,162.56,56.7,165.1,Southpaw,3.52,2.67,0.34,0.3,0.61,0.62,0.6,1.41,1,25,49,0.51,25,49,0.51,1,1,1.0,1,0,27,22,3,36.0,165.1,61.23,172.72,Orthodox,3.08,3.46,0.55,0.44,0.51,0.58,1.6,1.65,-1,21,45,-0.03,21,45,-0.02,-1,1,-1.0,-1,0,-17,6,5,3.0,-2.54,-4.53,-7.62,0.4399999999999999,-0.79,-0.21,-0.14,0.1,0.04,-1.0,-0.24
UFC Fight Night,raul rosas jr.,terrence mitchell,Red,Bantamweight,0,Men,KO/TKO,1,3,54,Mark Smith,1,18,30,0.6,19,31,0.61,0,0,0.0,0,0,17,8,1,19.0,175.26,61.23,170.18,Switch,1.28,1.52,0.44,0.33,0.46,0.0,1.8,3.57,0,6,19,0.31,6,19,0.32,0,0,0.0,0,0,0,14,4,34.0,177.8,61.23,187.96,Orthodox,2.21,8.85,0.34,0.5,0.41,0.0,0.0,3.69,1,12,11,0.29,13,12,0.29,0,0,0.0,0,0,17,-6,-3,-15.0,-2.54,0.0,-17.78,-0.93,-7.33,0.1,-0.17,0.05,0.0,1.8,-0.12
UFC 249,bryce mitchell,charles rosa,Red,Featherweight,0,Men,Decision - Unanimous,3,3,300,Keith Peterson,0,40,49,0.81,60,74,0.81,3,3,1.0,5,0,771,16,3,29.0,177.8,65.77,177.8,Southpaw,2.3,1.63,0.58,0.41,0.58,0.33,1.6,3.45,0,5,10,0.5,12,17,0.71,0,0,0.0,0,0,0,14,8,37.0,175.26,65.77,175.26,Switch,3.08,3.86,0.36,0.35,0.47,0.38,1.0,1.67,0,35,39,0.31,48,57,0.1,3,3,1.0,5,0,771,2,-5,-8.0,2.5400000000000205,0.0,2.5400000000000205,-0.78,-2.23,0.2199999999999999,0.06,0.1099999999999999,-0.05,0.6000000000000001,1.7800000000000002
UFC 292,karine silva,maryna moroz,Red,Women's Flyweight,0,Women,Submission,1,3,299,John English,1,30,53,0.56,52,76,0.68,1,1,1.0,1,0,51,17,4,30.0,165.1,56.7,170.18,Orthodox,3.37,3.37,0.35,0.6,0.5,0.0,4.1,2.45,0,16,55,0.29,25,66,0.38,0,0,0.0,0,1,101,11,6,32.0,170.18,56.7,170.18,Orthodox,4.42,4.89,0.33,0.24,0.51,0.42,0.6,0.7,1,14,-2,0.2700000000000001,27,10,0.3,1,1,1.0,1,-1,-50,6,-2,-2.0,-5.08,0.0,0.0,-1.05,-1.52,0.0199999999999999,0.36,-0.01,-0.42,3.5,1.7500000000000002
UFC 271,douglas silva de andrade,sergey morozov,Red,Bantamweight,0,Men,Submission,2,3,204,Kerry Hatley,3,37,64,0.57,57,86,0.66,0,1,0.0,2,0,55,29,5,38.0,170.18,61.23,172.72,Orthodox,3.66,3.99,0.38,0.46,0.58,0.7,0.2,0.61,1,32,65,0.49,62,99,0.63,1,5,0.2,0,0,150,19,5,34.0,167.64,61.23,170.18,Orthodox,3.01,2.97,0.43,0.31,0.61,0.68,0.0,3.63,2,5,-1,0.08,-5,-13,0.03,-1,-4,-0.2,2,0,-95,10,0,4.0,2.5400000000000205,0.0,2.539999999999992,0.6500000000000004,1.02,-0.05,0.15,-0.03,0.0199999999999999,0.2,-3.02
UFC Fight Night,mayra bueno silva,maryna moroz,Blue,Women's Flyweight,0,Women,Decision - Unanimous,3,3,300,Camila Albuquerque,0,88,146,0.6,92,150,0.61,0,0,0.0,0,0,45,10,3,32.0,167.64,61.23,167.64,Orthodox,3.84,4.86,0.57,0.38,0.53,0.68,1.6,0.68,0,139,247,0.56,176,298,0.59,2,8,0.25,0,0,269,11,6,32.0,170.18,56.7,170.18,Orthodox,4.42,4.89,0.33,0.24,0.51,0.42,0.6,0.7,0,-51,-101,0.0399999999999999,-84,-148,0.02,-2,-8,-0.25,0,0,-224,-1,-3,0.0,-2.54,4.529999999999994,-2.54,-0.58,-0.03,0.2399999999999999,0.14,0.02,0.26,1.0,-0.02
UFC Fight Night,rodrigo nascimento,don'tale mayes,Red,Heavyweight,0,Men,Decision - Unanimous,3,3,300,Osiris Maia,0,70,154,0.45,91,180,0.51,0,3,0.0,0,0,141,11,1,31.0,187.96,111.58,203.2,Orthodox,4.31,4.76,0.48,0.33,0.43,0.77,0.7,1.2,0,79,159,0.49,105,190,0.55,0,1,0.0,0,0,39,10,6,32.0,198.12,117.93,205.74,Orthodox,3.6,3.84,0.44,0.43,0.46,0.6,0.0,0.79,0,-9,-5,-0.04,-14,-10,-0.04,0,2,0.0,0,0,102,1,-5,-1.0,-10.16,-6.35,-2.54,0.7099999999999995,0.92,0.04,-0.1,-0.03,0.17,0.7,0.4099999999999999
UFC Fight Night,rodrigo nascimento,don'tale mayes,Red,Heavyweight,0,Men,Submission,2,3,125,Dan Miragliotta,0,32,52,0.61,45,65,0.69,2,2,1.0,1,0,143,11,1,31.0,187.96,111.58,203.2,Orthodox,4.31,4.76,0.48,0.33,0.43,0.77,0.7,1.2,0,27,48,0.56,42,65,0.65,0,0,0.0,0,0,93,10,6,32.0,198.12,117.93,205.74,Orthodox,3.6,3.84,0.44,0.43,0.46,0.6,0.0,0.79,0,5,4,0.05,3,0,0.0399999999999999,2,2,1.0,1,0,50,1,-5,-1.0,-10.16,-6.35,-2.54,0.7099999999999995,0.92,0.04,-0.1,-0.03,0.17,0.7,0.4099999999999999
UFC 299,sean o'malley,marlon vera,Red,UFC Bantamweight Title,1,Men,Decision - Unanimous,5,5,300,Keith Peterson,0,230,356,0.64,232,358,0.65,0,0,0.0,0,0,3,18,1,29.0,180.34,61.23,182.88,Switch,7.63,3.52,0.61,0.42,0.62,0.62,0.3,0.35,0,89,241,0.36,89,241,0.37,0,0,0.0,0,0,0,23,9,31.0,172.72,61.23,177.8,Switch,4.31,5.48,0.49,0.39,0.5,0.7,0.9,0.53,0,141,115,0.28,143,117,0.28,0,0,0.0,0,0,3,-5,-8,-2.0,7.620000000000003,0.0,5.079999999999984,3.3200000000000003,-1.96,0.12,0.03,0.12,-0.08,-0.6,-0.18
UFC 252,sean o'malley,marlon vera,Blue,Bantamweight,0,Men,KO/TKO,1,3,280,Herb Dean,0,10,21,0.47,10,21,0.48,0,0,0.0,0,0,0,18,1,29.0,180.34,61.23,182.88,Switch,7.63,3.52,0.61,0.42,0.62,0.62,0.3,0.35,0,18,30,0.6,18,30,0.6,0,0,0.0,0,0,11,23,9,31.0,172.72,61.23,177.8,Switch,4.31,5.48,0.49,0.39,0.5,0.7,0.9,0.53,0,-8,-9,-0.13,-8,-9,-0.12,0,0,0.0,0,0,-11,-5,-8,-2.0,7.620000000000003,0.0,5.079999999999984,3.3200000000000003,-1.96,0.12,0.03,0.12,-0.08,-0.6,-0.18
UFC Fight Night,katlyn cerminara,antonina shevchenko,Red,Women's Flyweight,0,Women,Decision - Unanimous,3,3,300,Chris Tognoni,0,73,108,0.67,200,240,0.83,3,3,1.0,4,0,636,18,6,35.0,175.26,56.7,172.72,Orthodox,4.58,4.48,0.34,0.15,0.62,0.5,0.3,0.31,0,25,64,0.39,37,76,0.49,0,0,0.0,0,0,0,10,4,39.0,172.72,56.7,170.18,Southpaw,3.86,2.93,0.55,0.42,0.52,0.53,0.4,0.43,0,48,44,0.28,163,164,0.3399999999999999,3,3,1.0,4,0,636,8,2,-4.0,2.539999999999992,0.0,2.539999999999992,0.7200000000000002,1.5500000000000005,-0.21,-0.27,0.1,-0.03,-0.1,-0.12
